TrialNumber,Average gross pay,HC bearing gross rock volume,HC pore volume,HC water contact - result,Productive area,Recoverable.Accumulation size Total Resources
5259,41.7603,128.469,14.1066,3512.65,3.07635,14.9737
7049,40.8474,88.8646,10.28,3477.34,2.17553,11.3097
6046,36.9702,129.586,13.6251,3527.46,3.50515,15.908
5010,39.0217,141.269,13.8537,3531.02,3.62027,15.9253
6472,36.2506,117.609,13.72,3518.88,3.24434,15.6879
137,36.4175,80.6909,8.07571,3478.85,2.21572,10.0008
129,41.0884,69.8435,7.63456,3449.79,1.69984,8.82028
6343,40.1611,113.956,12.7678,3503.81,2.83746,14.6971
1550,38.1591,104.321,10.7114,3499.98,2.73384,12.6428
6708,36.3145,212.184,16.6272,3603.41,5.84294,19.206
3025,47.4036,76.073,8.29054,3439.27,1.60479,9.67873
764,37.6953,157.832,12.9484,3546.34,4.18705,15.0435
3993,39.2423,108.533,11.69,3501.15,2.76572,12.3944
847,33.4731,136.896,12.7048,3543.81,4.08973,14.8469
5241,40.4399,80.8999,8.27493,3470.78,2.0005,9.49584
8876,40.2126,137.858,12.6972,3524.97,3.42824,14.8983
6108,41.7034,155.765,13.3129,3534.2,3.73506,14.7853
7123,36.6413,168.507,15.8861,3557.26,4.59882,20.1886
9278,41.1354,226.206,18.1832,3585.01,5.49906,20.5391
3853,31.1817,172.723,16.2035,3586.57,5.53926,17.4078
6198,39.1147,97.9378,12.2954,3491.49,2.50386,15.1007
10,35.6295,132.45,12.2924,3533.71,3.71742,13.997
2982,38.3926,194.227,17.6833,3569.82,5.05897,20.4491
4163,39.1061,118.315,14.0321,3510.77,3.0255,14.7552
7632,39.8402,136.161,13.4585,3524.63,3.41768,15.3035
4877,32.5893,87.3215,10.2506,3497.97,2.67945,12.2065
6490,43.0971,121.036,11.9873,3502.74,2.80845,14.8818
8033,54.4967,90.9565,8.79248,3446.42,1.66903,10.0205
4998,38.481,120.206,11.7033,3514.41,3.12378,14.8046
1839,30.0059,135.702,14.5515,3555.22,4.5225,16.3776
2408,36.3932,141.318,11.4796,3538.31,3.88309,13.3008
2223,40.2056,114.264,12.1981,3503.98,2.842,14.4561
2382,46.8253,136.542,11.9366,3506.71,2.91599,13.9147
5930,48.5319,76.4596,8.51139,3435.43,1.57545,10.6687
6333,39.4955,118.423,13.1317,3509.76,2.9984,15.0074
7311,37.0244,121.219,13.1267,3519.98,3.27404,14.7545
8722,32.8084,120.252,13.1387,3532.27,3.66529,15.952
2024,43.4338,81.1448,8.82386,3462.84,1.86824,10.1826
423,42.3801,121.737,12.2728,3505.11,2.8725,14.0572
